"Indent","Category","Source","report","2000 Corp","2001 Corp","2002 Corp","2003 Corp","2004 Corp","2005 Corp","2006 Corp","2007 Corp","2008 Corp","2009 Corp","2010 Corp","2011 Corp","2012 Corp","2013 Corp","2014 Corp","2015 Corp","2016 Corp","2000 Indv","2001 Indv","2002 Indv","2003 Indv","2004 Indv","2005 Indv","2006 Indv","2007 Indv","2008 Indv","2009 Indv","2010 Indv","2011 Indv","2012 Indv","2013 Indv","2014 Indv","2015 Indv","2016 Indv","Description/Expenditure Name","Notes"
"","Agriculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Agriculture budget function consists of government spending on activities that promote the economic stability of agriculture production in the U.S. This includes farm income stabilization, agricultural research, and other services provided by the U.S. Department of Agriculture.  Agriculture is function 350 of the U.S. Budget. ",""
"#","Bio-Diesel and small agri-biodiesel producer tax credits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<p>An income tax credit of $0.50, similar to Ethanol benefits, is available for each gallon of biodiesel used or sold. Biodiesel derived fromvirgin sources (agri-biodiesel) receives an increased credit of $1.00 per gallon. The Energy Tax Incentives Act of 2005 extends the income tax credit, excise tax credit, and payment provisions through December 31, 2008 and adds a credit for small agri-biodiesel producers. The conference agreement also creates a similar income tax credit, excise tax credit and payment system for renewable diesel, however there is no credit for small producers of renewable diesel. Renewable diesel means diesel fuel derived form biomass using thermal depolymerization process.</p><p>This tax expenditure corresponds with the tax expenditure ""Bio-Diesel and small agri-biodiesel producer tax credits,"" found in the Energy Budget Function and available <a href=""/tax_expenditures/db/group/11/?estimate=3&year=2001"">here</a>.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy08/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2008.</a>"
"#+",35,"Treasury",2006,"","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",0.00,30.00,30.00,10.00,0.00,0.00,0.00,"","","","","","","Bio-Diesel tax credit",""
"#+",50,"Treasury",2007,"","","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",30.00,90.00,100.00,90.00,40.00,20.00,20.00,"","","","","","Bio-Diesel and small agri-biodiesel producer tax credits",""
"#+",47,"Treasury",2008,"","","","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",90.00,180.00,200.00,30.00,20.00,10.00,10.00,"","","","","Bio-Diesel and small agri-biodiesel producer tax credits",""
"#","Capital gains treatment of certain income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," For individuals in 2010, tax rates on regular income vary from 10 percent to 35 percent, depending on the taxpayers income. The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low tax rates to apply to certain types or sources of income. In contrast, current law allows capital gains to be taxed at a preferentially low rate that is no higher than 15 percent. Certain agricultural income, such as unharvested crops, qualify for taxation as capital gains rather than ordinary income, and so benefit from the preferentially low 15 percent maximum tax rate on capital gains.","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
"#+",31,"Treasury",2001,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","","",665.00,695.00,725.00,760.00,795.00,830.00,"","","","","","","","","","","","Capital gains treatment of certain income",""
"#+",32,"Treasury",2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",700.00,740.00,780.00,820.00,860.00,900.00,950.00,"","","","","","","","","","","Capital gains treatment of certain income",""
"#+",30,"Treasury",2003,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",990.00,1040.00,1100.00,1160.00,1220.00,1290.00,1360.00,"","","","","","","","","","Capital gains treatment of certain income",""
"#+",30,"Treasury",2004,"","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",1010.00,1060.00,1120.00,1180.00,1250.00,1310.00,1380.00,"","","","","","","","","Capital gains treatment of certain income",""
"#+",30,"Treasury",2005,"","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",1050.00,1100.00,1160.00,1220.00,1280.00,1350.00,1420.00,"","","","","","","","Capital gains treatment of certain income",""
"#+",32,"Treasury",2006,"","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",670.00,730.00,760.00,820.00,990.00,720.00,580.00,"","","","","","","Capital gains treatment of certain income",""
"#+",47,"Treasury",2007,"","","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",880.00,870.00,900.00,1050.00,750.00,590.00,780.00,"","","","","","Capital gains treatment of certain income",""
"#+",44,"Treasury",2008,"","","","","","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","",880.00,940.00,950.00,950.00,1010.00,980.00,700.00,"","","","","Capital gains treatment of certain income",""
