"Indent","Category","Source","Report","2000 (Corp)","2001 (Corp)","2002 (Corp)","2003 (Corp)","2004 (Corp)","2005 (Corp)","2006 (Corp)","2007 (Corp)","2008 (Corp)","2009 (Corp)","2010 (Corp)","2011 (Corp)","2012 (Corp)","2013 (Corp)","2014 (Corp)","2015 (Corp)","2016 (Corp)","2000 (Indv)","2001 (Indv)","2002 (Indv)","2003 (Indv)","2004 (Indv)","2005 (Indv)","2006 (Indv)","2007 (Indv)","2008 (Indv)","2009 (Indv)","2010 (Indv)","2011 (Indv)","2012 (Indv)","2013 (Indv)","2014 (Indv)","2015 (Indv)","2016 (Indv)","Expenditure Name","Expenditure Footnotes"
,"Community and regional development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Investment credit for rehabilitation of structures (other than historic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Rehabilitation of structures.&mdash;The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. However, the Tax Code allows a 10-percent investment tax credit for the rehabilitation of buildings that are used for business or productive activities and that were erected before 1936 for other than residential purposes. The taxpayer's recoverable basis must be reduced by the amount of the credit. </p>",
"#+",65,"Treasury",2001,15,15,15,15,15,15,,,,,,,,,,,,10,15,15,15,15,15,,,,,,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",66,"Treasury",2002,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",64,"Treasury",2003,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",64,"Treasury",2004,,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",64,"Treasury",2005,,,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",71,"Treasury",2006,,,,,20,20,20,20,20,20,20,,,,,,,,,,,20,20,20,20,20,20,20,,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",87,"Treasury",2007,,,,,,20,20,20,20,20,20,20,,,,,,,,,,,20,20,20,20,20,20,20,,,,,,"Investment credit for rehabilitation of structures (other than historic)",
"#+",84,"Treasury",2008,,,,,,,20,20,20,20,20,20,20,,,,,,,,,,,20,20,20,20,20,20,20,,,,,"Investment credit for rehabilitation of structures (other than historic)",
