"Indent","Category","Source","Report","2000 (Corp)","2001 (Corp)","2002 (Corp)","2003 (Corp)","2004 (Corp)","2005 (Corp)","2006 (Corp)","2007 (Corp)","2008 (Corp)","2009 (Corp)","2010 (Corp)","2011 (Corp)","2012 (Corp)","2013 (Corp)","2014 (Corp)","2015 (Corp)","2016 (Corp)","2000 (Indv)","2001 (Indv)","2002 (Indv)","2003 (Indv)","2004 (Indv)","2005 (Indv)","2006 (Indv)","2007 (Indv)","2008 (Indv)","2009 (Indv)","2010 (Indv)","2011 (Indv)","2012 (Indv)","2013 (Indv)","2014 (Indv)","2015 (Indv)","2016 (Indv)","Expenditure Name","Expenditure Footnotes"
,"Interest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Deferral of interest on U.S. savings bonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#+",131,"Treasury",2001,0,0,0,0,0,0,,,,,,,,,,,,1065,1115,1175,1235,1295,1355,,,,,,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",133,"Treasury",2002,0,0,0,0,0,0,0,,,,,,,,,,,470,490,520,540,570,600,630,,,,,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",136,"Treasury",2003,,0,0,0,0,0,0,0,,,,,,,,,,,290,300,310,330,330,350,360,,,,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",137,"Treasury",2004,,,0,0,0,0,0,0,0,,,,,,,,,,,510,590,670,750,840,920,1050,,,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",137,"Treasury",2005,,,,0,0,0,0,0,0,0,,,,,,,,,,,30,40,40,40,40,40,50,,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",146,"Treasury",2006,,,,,0,0,0,0,0,0,0,,,,,,,,,,,50,50,50,50,60,70,70,,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",163,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,1350,1340,1350,1360,1380,1390,1440,,,,,,"Deferral of interest on U.S. savings bonds",
"#+",161,"Treasury",2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,1260,1330,1340,1360,1370,1420,1520,,,,,"Deferral of interest on U.S. savings bonds",
"#+",161,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,1290,1310,1320,1330,1380,1470,1490,,,,"Deferral of interest on U.S. savings bonds",
"#+",165,"Treasury",2010,,,,,,,,,,,,,,,,,,,,,,,,,,1310,1320,1330,1380,1470,1490,1500,,,"Deferral of interest on U.S. savings bonds",
"#+",173,"Treasury",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,1180,1220,1300,1320,1330,1340,,"Deferral of interest on U.S. savings bonds",
"#+",173,"Treasury",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,1220,1300,1320,1330,1340,1360,"Deferral of interest on U.S. savings bonds",
"#+",,"JCT",2001,0,0,0,0,,,,,,,,,,,,,,1200,1200,1200,1200,,,,,,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2002,0,0,0,0,0,,,,,,,,,,,,,1200,1200,1200,1200,1200,,,,,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2003,,0,0,0,0,0,,,,,,,,,,,,,1600,1600,1600,1600,1600,,,,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2004,,,0,0,0,0,0,,,,,,,,,,,,,1600,1600,1600,1600,1600,,,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2005,,,,0,0,0,0,0,,,,,,,,,,,,,1600,1600,1600,1600,1600,,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2006,,,,,0,0,0,0,0,,,,,,,,,,,,,1700,1700,1700,1700,1700,,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2007,,,,,,0,0,0,0,0,,,,,,,,,,,,,1100,1100,1100,1100,1100,,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2008,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1100,1100,1200,1200,1200,,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2009,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1100,1200,1200,1200,1300,,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1200,1200,1200,1300,1300,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1200,1200,1200,1300,1300,,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1200,1200,1300,1300,1300,,,,"Deferral of interest on savings bonds",
"#+",,"JCT",2012,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1300,1400,1400,1500,1500,,,"Deferral of interest on savings bonds",
